"caja";"fact_anul";"fact_cred";"codi_clie";"codi_fact";"vcr_num_fac";"vcr_fecha";"vcr_suman";"vcr_iva";"vcr_tipo";"vcr_divisa";"usuario"
"004";FALSO;FALSO;"9999999";"0000124526";"0000001";"2019-02-16";36.88;4.43;E;USD;"001"
"004";FALSO;FALSO;"9999999";"0000124527";"0000002";"2019-02-16";2.09;0.25;E;USD;"005"
"004";FALSO;FALSO;"9999999";"0000124538";"0000003";"2019-02-18";19.18;2.30;E;USD;"005"
"004";FALSO;FALSO;"9999999";"0000124542";"0000005";"2019-02-18";1.44;0.17;E;USD;"005"
"004";FALSO;FALSO;"9999999";"0000124553";"0000013";"2019-02-18";27.13;3.26;E;USD;"009"
"004";FALSO;FALSO;"9999999";"0000124554";"0000014";"2019-02-18";1.42;0.17;E;USD;"009"
"004";FALSO;FALSO;"9999999";"0000124561";"0000020";"2019-02-18";17.77;2.13;E;USD;"009"
"004";FALSO;FALSO;"9999999";"0000124564";"0000022";"2019-02-18";3.39;0.41;E;USD;"009"
"004";FALSO;FALSO;"9999999";"0000124565";"0000023";"2019-02-18";3.97;0.48;E;USD;"009"
"004";FALSO;FALSO;"9999999";"0000124566";"0000024";"2019-02-18";14.96;1.80;E;USD;"009"
"003";FALSO;FALSO;"9999999";"0000124569";"0000006";"2019-02-18";42.63;5.12;E;USD;"010"
"004";FALSO;FALSO;"9999999";"0000124570";"0000026";"2019-02-18";6.12;0.73;E;USD;"009"
"004";FALSO;FALSO;"9999999";"0000124575";"0000028";"2019-02-18";4.64;0.56;E;USD;"009"
"003";FALSO;FALSO;"9999999";"0000124578";"0000009";"2019-02-18";3.66;0.44;E;USD;"010"
"003";FALSO;FALSO;"9999999";"0000124582";"0000010";"2019-02-18";25.54;3.06;E;USD;"010"
"004";FALSO;FALSO;"9999999";"0000124586";"0000035";"2019-02-18";5.04;0.60;E;USD;"009"
"004";FALSO;FALSO;"9999999";"0000124587";"0000036";"2019-02-18";11.25;1.35;E;USD;"009"
"004";FALSO;FALSO;"9999999";"0000124588";"0000037";"2019-02-18";2.37;0.28;E;USD;"009"
"004";FALSO;FALSO;"9999999";"0000124596";"0000041";"2019-02-18";2.70;0.32;E;USD;"009"
"004";FALSO;FALSO;"9999999";"0000124600";"0000043";"2019-02-18";5.13;0.62;E;USD;"009"
"003";FALSO;FALSO;"9999999";"0000124601";"0000015";"2019-02-18";18.30;2.20;E;USD;"010"
"004";FALSO;FALSO;"9999999";"0000124602";"0000044";"2019-02-18";7.06;0.82;E;USD;"009"
"004";FALSO;FALSO;"9999999";"0000124603";"0000045";"2019-02-18";3.35;0.40;E;USD;"009"
"004";FALSO;FALSO;"9999999";"0000124614";"0000048";"2019-02-18";3.80;0.46;E;USD;"009"
"004";FALSO;FALSO;"9999999";"0000124615";"0000049";"2019-02-18";10.27;1.23;E;USD;"009"
"004";FALSO;FALSO;"9999999";"0000124616";"0000050";"2019-02-18";5.45;0.65;E;USD;"009"
"003";FALSO;FALSO;"9999999";"0000124618";"0000020";"2019-02-18";51.03;6.12;E;USD;"010"
"004";FALSO;FALSO;"9999999";"0000124619";"0000052";"2019-02-18";8.08;0.97;E;USD;"009"
"004";FALSO;FALSO;"9999999";"0000124620";"0000053";"2019-02-18";5.45;0.65;E;USD;"009"
"003";FALSO;FALSO;"9999999";"0000124622";"0000022";"2019-02-18";16.64;1.58;E;USD;"010"
"003";FALSO;FALSO;"9999999";"0000124623";"0000023";"2019-02-18";11.07;1.33;E;USD;"010"
"003";FALSO;FALSO;"9999999";"0000124626";"0000025";"2019-02-18";10.73;1.29;E;USD;"010"
"003";FALSO;FALSO;"9999999";"0000124628";"0000026";"2019-02-18";12.72;1.53;E;USD;"010"
"004";FALSO;FALSO;"9999999";"0000124631";"0000057";"2019-02-18";9.06;1.09;E;USD;"009"
"004";FALSO;FALSO;"9999999";"0000124638";"0000061";"2019-02-19";17.36;2.08;E;USD;"005"
"004";FALSO;FALSO;"9999999";"0000124666";"0000071";"2019-02-19";5.76;0.69;E;USD;"005"
"004";FALSO;FALSO;"9999999";"0000124670";"0000072";"2019-02-19";3.99;0.33;E;USD;"005"
"004";FALSO;FALSO;"9999999";"0000124672";"0000073";"2019-02-19";20.27;2.43;E;USD;"005"
"003";FALSO;FALSO;"9999999";"0000124685";"0000031";"2019-02-19";21.46;2.58;E;USD;"010"
"004";FALSO;FALSO;"9999999";"0000124758";"0000105";"2019-02-20";7.22;0.87;E;USD;"010"
"004";VERDADERO;FALSO;"9999999";"0000124908";"0000167";"2019-02-22";18.84;2.26;E;USD;"005"
"004";FALSO;FALSO;"9999999";"0000124921";"0000176";"2019-02-22";6.00;0.72;E;USD;"005"
"003";FALSO;FALSO;"9999999";"0000124941";"0000067";"2019-02-22";15.31;1.84;E;USD;"010"
"004";FALSO;FALSO;"9999999";"0000124962";"0000192";"2019-02-22";2.90;0.35;E;USD;"009"
"003";FALSO;FALSO;"9999999";"0000124964";"0000072";"2019-02-22";2.68;0.32;E;USD;"010"
"004";FALSO;FALSO;"9999999";"0000124968";"0000194";"2019-02-22";19.66;2.36;E;USD;"009"
"003";FALSO;FALSO;"9999999";"0000125052";"0000084";"2019-02-23";10.58;1.27;E;USD;"010"
"004";FALSO;FALSO;"9999999";"0000125068";"0000222";"2019-02-25";18.04;2.16;E;USD;"005"
"004";FALSO;FALSO;"9999999";"0000125092";"0000232";"2019-02-25";11.57;1.39;E;USD;"005"
"004";FALSO;FALSO;"9999999";"0000125101";"0000234";"2019-02-25";3.04;0.36;E;USD;"005"
"004";FALSO;FALSO;"9999999";"0000125103";"0000236";"2019-02-25";6.34;0.76;E;USD;"005"
"004";FALSO;FALSO;"9999999";"0000125128";"0000245";"2019-02-25";12.60;1.51;E;USD;"009"
"004";FALSO;FALSO;"9999999";"0000125159";"0000261";"2019-02-26";20.85;2.50;E;USD;"005"
"004";FALSO;FALSO;"9999999";"0000125167";"0000264";"2019-02-26";21.16;2.54;E;USD;"005"
"004";FALSO;FALSO;"9999999";"0000125206";"0000281";"2019-02-26";6.43;0.77;E;USD;"005"
"004";FALSO;FALSO;"9999999";"0000125221";"0000283";"2019-02-26";0.99;0.12;E;USD;"005"
"004";FALSO;FALSO;"9999999";"0000125264";"0000288";"2019-02-27";4.64;0.56;E;USD;"005"
"004";FALSO;FALSO;"9999999";"0000125342";"0000297";"2019-02-28";14.87;1.78;E;USD;"005"
"003";FALSO;FALSO;"9999999";"0000125370";"0000125";"2019-02-28";11.52;1.38;E;USD;"010"
"004";FALSO;FALSO;"9999999";"0000125380";"0000308";"2019-02-28";16.07;1.93;E;USD;"009"
"004";FALSO;FALSO;"9999999";"0000125382";"0000310";"2019-02-28";4.50;0.54;E;USD;"009"
"003";FALSO;FALSO;"9999999";"0000125387";"0000131";"2019-02-28";36.41;4.37;E;USD;"010"
"003";FALSO;FALSO;"9999999";"0000125406";"0000132";"2019-02-28";8.08;0.97;E;USD;"010"
